"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","phlrr2019",,,,"User:","root"
"Cmdline:","dstat -cdnmgyr --output all-utils.csv",,,,"Date:","23 Apr 2020 20:57:24 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"system",,"io/total",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","int","csw","read","writ"
12.329,4.942,81.422,1.198,0.0,0.108,38073214.754,2535435.112,0.0,0.0,5925875712.0,42786816.0,39629758464.0,4.95347634176e+11,55803.062,130764.269,10002.088,12275.183,420.780,9.675
16.254,14.227,62.538,5.706,0.0,1.276,74678272.0,0.0,2640.0,61882.0,6413475840.0,44945408.0,39699394560.0,4.9478823936e+11,0.0,0.0,12648.0,1358573.0,3770.0,0.0
8.887,4.811,83.401,2.644,0.0,0.257,27639808.0,0.0,1680.0,30150.0,6610432000.0,45785088.0,39729790976.0,4.94560047104e+11,0.0,0.0,7014.0,20079.0,1385.0,0.0
0.036,3.228,96.736,0.0,0.0,0.0,61440.0,0.0,720.0,20522.0,6624866304.0,45785088.0,39729795072.0,4.94545608704e+11,0.0,0.0,2132.0,1276.0,4.0,0.0
0.036,3.228,96.664,0.0,0.0,0.072,0.0,0.0,1039.0,20506.0,6636453888.0,45785088.0,39729795072.0,4.9453402112e+11,0.0,0.0,2145.0,1128.0,0.0,0.0
0.0,3.271,96.693,0.0,0.0,0.036,0.0,77824.0,990.0,20558.0,6650589184.0,45793280.0,39729856512.0,4.94519816192e+11,0.0,0.0,2299.0,1530.0,0.0,2.0
0.0,3.477,96.452,0.0,0.0,0.072,0.0,16384.0,780.0,20498.0,6641922048.0,45801472.0,39729848320.0,4.94528483328e+11,0.0,0.0,2910.0,1394.0,0.0,2.0
0.036,3.562,96.366,0.0,0.0,0.036,0.0,69632.0,782.0,20550.0,6629732352.0,45801472.0,39729872896.0,4.94540648448e+11,0.0,0.0,2714.0,1770.0,0.0,14.0
0.0,3.196,96.732,0.0,0.0,0.072,0.0,0.0,780.0,20482.0,6644551680.0,45801472.0,39729872896.0,4.9452582912e+11,0.0,0.0,2363.0,1371.0,0.0,0.0
0.108,3.306,96.155,0.0,0.0,0.431,53248.0,0.0,1890.0,30396.0,6660493312.0,45854720.0,39729881088.0,4.94509826048e+11,0.0,0.0,3596.0,2120.0,13.0,0.0
0.144,3.139,96.717,0.0,0.0,0.0,315392.0,32768.0,1140.0,30138.0,6675738624.0,45862912.0,39730196480.0,4.94494257152e+11,0.0,0.0,1600.0,14017.0,8.0,2.0
0.288,3.636,96.040,0.036,0.0,0.0,1343488.0,0.0,1200.0,20574.0,7205933056.0,45862912.0,39730282496.0,4.93963976704e+11,0.0,0.0,1981.0,11749.0,67.0,0.0
4.330,3.821,89.702,2.074,0.0,0.073,169005056.0,12288.0,1070.0,20534.0,8156663808.0,45871104.0,39939821568.0,4.92803698688e+11,0.0,0.0,8883.0,13656.0,1461.0,2.0
17.912,4.147,75.903,1.966,0.0,0.072,207749120.0,0.0,780.0,20474.0,10015113216.0,45871104.0,40179036160.0,4.90706034688e+11,0.0,0.0,5679.0,9433.0,1739.0,0.0
19.936,4.930,74.920,0.214,0.0,0.0,35303424.0,0.0,810.0,20518.0,12813881344.0,45871104.0,40216625152.0,4.87869677568e+11,0.0,0.0,2905.0,3725.0,284.0,0.0
18.582,4.547,76.871,0.0,0.0,0.0,229376.0,16384.0,1080.0,20860.0,15280168960.0,45879296.0,40226017280.0,4.85393989632e+11,0.0,0.0,2480.0,3519.0,10.0,2.0
2.326,0.501,97.101,0.0,0.0,0.072,0.0,0.0,1020.0,25314.0,15526051840.0,45879296.0,40231936000.0,4.85142188032e+11,0.0,0.0,896.0,2395.0,0.0,0.0
0.072,0.143,99.785,0.0,0.0,0.0,139264.0,0.0,1500.0,20644.0,15525683200.0,46018560.0,40231940096.0,4.85142413312e+11,0.0,0.0,643.0,2184.0,34.0,0.0
0.0,0.143,99.857,0.0,0.0,0.0,0.0,12288.0,1140.0,20744.0,15527354368.0,46026752.0,40231944192.0,4.85140729856e+11,0.0,0.0,574.0,2084.0,0.0,2.0
0.178,0.285,99.501,0.0,0.0,0.036,106496.0,0.0,1770.0,37928.0,15529541632.0,46026752.0,40232050688.0,4.85138436096e+11,0.0,0.0,556.0,2147.0,8.0,0.0
0.0,0.107,99.857,0.0,0.0,0.036,0.0,16384.0,1350.0,28594.0,15528833024.0,46034944.0,40232046592.0,4.85139140608e+11,0.0,0.0,453.0,1882.0,0.0,2.0
0.645,0.896,98.458,0.0,0.0,0.0,0.0,0.0,3690.0,22694.0,15761424384.0,46034944.0,40242749440.0,4.848958464e+11,0.0,0.0,1957.0,1980.0,0.0,0.0
3.180,0.429,96.392,0.0,0.0,0.0,0.0,0.0,900.0,20378.0,16044077056.0,46034944.0,40242749440.0,4.84613193728e+11,0.0,0.0,621.0,1004.0,0.0,0.0
2.719,0.859,96.422,0.0,0.0,0.0,0.0,0.0,780.0,20354.0,16497418240.0,46034944.0,40242552832.0,4.84160049152e+11,0.0,0.0,601.0,998.0,0.0,0.0
5.796,3.292,90.841,0.0,0.0,0.072,8089600.0,16384.0,1110.0,20382.0,17238237184.0,46043136.0,40252084224.0,4.83409690624e+11,0.0,0.0,1540.0,6079.0,67.0,2.0
28.449,0.608,70.622,0.0,0.0,0.322,0.0,16384.0,1020.0,20710.0,17243529216.0,46051328.0,40252743680.0,4.83403730944e+11,0.0,0.0,3075.0,4364.0,0.0,2.0
27.570,1.294,70.812,0.0,0.0,0.324,102400.0,0.0,23306.0,51344.0,17238315008.0,46051328.0,40279113728.0,4.83382575104e+11,0.0,0.0,6294.0,6245.0,6.0,0.0
4.644,3.672,84.953,6.695,0.0,0.036,109809664.0,16384.0,4479018.0,4497982.0,17396928512.0,46153728.0,40393711616.0,4.83109261312e+11,0.0,0.0,2927.0,12583.0,694.0,4.0
